iteration,accuracy,precision,recall,f1_score,roc_auc,training_time,cv_score
1,0.7996323529411765,0.6384439359267735,0.7661596958174905,0.6964954392702833,0.8312699286137724,9.380592107772827,0.8305888125115556
2,0.7961460446247465,0.6365107913669065,0.7475707646810308,0.6875850009714397,0.8286349649955804,9.69350266456604,0.8306603210155927
3,0.7928498985801217,0.6287772312016866,0.756020278833967,0.6865528486476118,0.8289120496790416,9.803874254226685,0.8312916033540652
4,0.797857505070994,0.638416054470525,0.7526404731727926,0.690838584585555,0.8270745462633091,9.684008598327637,0.8317070288092344
5,0.8033088235294118,0.6456510091087694,0.7636248415716096,0.6996999903222684,0.8356086932966398,9.848487615585327,0.8293784807721885
6,0.797920892494929,0.637937187723055,0.7551753274186734,0.6916231379377057,0.829833761815986,9.9771089553833,0.8307567022361052
7,0.7941810344827587,0.6308287876121766,0.7572877059569075,0.6882979744648171,0.828507049589894,10.083879709243774,0.8310563026418843
8,0.8018509127789046,0.6432133950837192,0.762779890156316,0.6979126401236954,0.8347502262552162,10.265568971633911,0.8300994371736037
9,0.8005831643002028,0.6397887323943662,0.7676383607942543,0.6979066641060111,0.8369555498317404,9.185219049453735,0.8292172492815942
10,0.8000760649087221,0.6402200922967696,0.7619349387410224,0.6957947530864197,0.8333346533307897,9.649576187133789,0.8298431170602831
11,0.7955755578093306,0.6340380174098419,0.753907900295733,0.6887966804979253,0.8292068778065728,9.204212427139282,0.8303690948393972
12,0.7975405679513184,0.6370106761565836,0.7562315166877904,0.6915201854355804,0.8290581580931493,9.498862504959106,0.8306095108015755
13,0.7941810344827587,0.6312908352463359,0.7551753274186734,0.6876983745311147,0.8258697903239518,9.707217931747437,0.8316178628849116
14,0.7996957403651116,0.6382642304989459,0.7674271229404309,0.6969115672357566,0.8366397739184878,10.01707935333252,0.8291149394515811
15,0.8008367139959433,0.6393557422969187,0.7714406421630756,0.6992150105303464,0.8353055243156158,9.669151782989502,0.8301051139822065
16,0.797857505070994,0.6363155108523028,0.761723700887199,0.6933948658782809,0.8308368546656782,10.12507438659668,0.8306514366478739
17,0.8002662271805274,0.6401132943883874,0.7638360794254331,0.6965231628623713,0.8322727249422969,9.110472440719604,0.8300920307252894
18,0.7984913793103449,0.6391623411490961,0.7543303760033798,0.6919872105416143,0.8342632332805869,8.991384029388428,0.8294738158704346
19,0.7975405679513184,0.6353251318101933,0.7636248415716096,0.6935917114351496,0.8321920233586749,9.310235738754272,0.8301638198638442
20,0.8015339756592292,0.6435608096005732,0.7589776087874948,0.6965203062905884,0.8332644734660233,9.269015550613403,0.8299732943301069
21,0.8015339756592292,0.6411837237977805,0.7689057879171948,0.6992603976563251,0.8312809859837695,9.24927806854248,0.8307859651002599
22,0.7966531440162272,0.6347580360296715,0.7591888466413181,0.6914197768372451,0.8292204795194934,9.244664907455444,0.8307790216139143
23,0.7979842799188641,0.6359641413253647,0.7642585551330798,0.6942339057852825,0.8325249114128664,10.049470663070679,0.8310837006664085
24,0.7960826572008114,0.6337978479449639,0.7589776087874948,0.6907622801115063,0.8259705309993942,10.178178310394287,0.8314847999096996
25,0.797857505070994,0.637089618456078,0.7583438952260245,0.6924486449995177,0.8310375421050493,9.84565544128418,0.8302076028700013
26,0.797223630831643,0.6358166696159971,0.7589776087874948,0.6919595570534425,0.8313454362943593,9.988464832305908,0.8306752396716265
27,0.7963995943204868,0.6351207386363636,0.7555978031263202,0.6901408450704226,0.8283800620085067,10.213995218276978,0.830754026599802
28,0.7953853955375254,0.6339857651245552,0.7526404731727926,0.6882364303650763,0.8265889115469321,9.965323686599731,0.8307132433499032
29,0.7936105476673428,0.6295582047685835,0.7585551330798479,0.6880628472887527,0.8306814871389778,11.560513973236084,0.8312737701681262
30,0.7938640973630832,0.6314762242725337,0.751795521757499,0.6864030858244937,0.8267490999339082,11.019922256469727,0.8311988798054674
31,0.7990618661257607,0.6382113821138211,0.762779890156316,0.6949576597382603,0.8344997902160564,10.43236255645752,0.82911285875941
32,0.8015973630831643,0.6422995031937544,0.7646810308407267,0.6981677917068467,0.8349173685418358,10.46464729309082,0.8294067975869849
33,0.8048301217038539,0.6492335437330928,0.7604562737642585,0.7004572429224633,0.8358114085581901,10.37821340560913,0.8295883320016504
34,0.7983646044624746,0.6371181352639943,0.7621461765948458,0.6940463595267866,0.8289480722183236,10.774436235427856,0.8307752187885283
35,0.7966531440162272,0.6363961387200572,0.7520067596113224,0.689388071262587,0.8305065587804049,10.12882685661316,0.8299063486992461
36,0.7990618661257607,0.6398926654740609,0.7555978031263202,0.692948469585432,0.8287521386828354,10.380686283111572,0.8311365902222123
37,0.8018509127789046,0.6441376837576193,0.7589776087874948,0.6968580294802172,0.8346013343682113,10.309078693389893,0.82985636956474
38,0.8012170385395537,0.6438084953203743,0.7555978031263202,0.6952380952380952,0.833090597279336,10.786078453063965,0.8298954445511765
39,0.7981744421906694,0.6357267950963222,0.7667934093789607,0.695135963232478,0.8327315771015872,9.619099617004395,0.8301573326897196
40,0.7976039553752535,0.6360586261698746,0.7608787494719054,0.6928921804366645,0.8311568488316721,10.392998456954956,0.8308305471073004
41,0.8030552738336714,0.6449314092285765,0.7646810308407267,0.6997197255243065,0.8365509227853523,10.121558904647827,0.8295717512040026
42,0.7977941176470589,0.6388489208633094,0.7503168567807351,0.6901107441227899,0.8267216860736901,9.627990007400513,0.8317445917012846
43,0.8009634888438134,0.640366326171187,0.7680608365019012,0.6984248943526701,0.8329803487961279,10.040247201919556,0.8304608004439253
44,0.7953853955375254,0.633180049522462,0.7562315166877904,0.6892568348093955,0.8289466852644742,10.890140056610107,0.8307098108667916
45,0.8029918864097363,0.6422821141057052,0.7752429235318969,0.7025267993874426,0.8393644686681195,10.668429851531982,0.8285850603898268
46,0.7941176470588235,0.6322064056939501,0.7505280946345585,0.686304809735368,0.8249708146649345,10.136455297470093,0.8324133439469105
47,0.8031186612576064,0.6446853892641308,0.7661596958174905,0.7001930501930501,0.8384819642817106,10.500772953033447,0.8284678584104318
48,0.7925329614604463,0.6284508528222261,0.7549640895648501,0.6859226561750313,0.8295675431985429,10.037971496582031,0.83087003467322
49,0.7988717038539553,0.6374361683394963,0.7646810308407267,0.6952847402285605,0.8326280720836454,10.289899349212646,0.8300666941685385
50,0.7990618661257607,0.6383091616554651,0.7623574144486692,0.6948402002310358,0.8339275904490953,9.975719451904297,0.8301892048434679
